,Election_Type,State_Name,Assembly_No,Constituency_No,Year,month,Poll_No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,Age,District_Name
0,GE,Andaman & Nicobar Islands,5,1,1971,3.0,0,2,1,K .R. GANESH,M,INC,27373,,44525,63122.0,A AND N ISLANDS,GEN,,5,70.54,61.48,no,17333,38.93,2.27,GEAN17961,,3482,True,2,INC,3482.0,ANDAMAN NICOBAR,False,True,2,False,True,True,,
1,GE,Andaman & Nicobar Islands,5,1,1971,3.0,0,2,2,P. K. S. PRASAD,M,IND,10040,,44525,63122.0,A AND N ISLANDS,GEN,,5,70.54,22.55,no,5220,11.72,2.27,GEAN20528,,10809,True,1,,,,,,0,False,False,False,,
2,GE,Andaman & Nicobar Islands,5,1,1971,3.0,0,2,3,RAMESH CHANDRA MUZUMDAR,M,IND,4820,,44525,63122.0,A AND N ISLANDS,GEN,,5,70.54,10.83,yes,3664,8.23,2.27,GEAN20527,,10809,True,1,,,,,,0,False,False,False,,
3,GE,Andaman & Nicobar Islands,5,1,1971,3.0,0,2,4,PABITRA KUMAR BISWAS,M,IND,1156,,44525,63122.0,A AND N ISLANDS,GEN,,5,70.54,2.6,yes,20,0.04,2.27,GEAN20526,,10809,True,1,,,,,,0,False,False,False,,
4,GE,Andaman & Nicobar Islands,5,1,1971,3.0,0,2,5,SAMAR SOM,M,IND,1136,,44525,63122.0,A AND N ISLANDS,GEN,,5,70.54,2.55,yes,0,0.0,2.27,GEAN20530,,10809,True,1,,,,,,0,False,False,False,,
5,GE,Andaman & Nicobar Islands,6,1,1977,3.0,0,3,1,MANORANJAN BHAKTA,M,INC,35400,GEN,60568,85308.0,ANDAMAN & NICOBAR ISLANDS,GEN,,2,71.0,58.45,no,10232,16.89,1.96,GEAN23680,,3482,True,1,,,,,,1,False,False,False,,
6,GE,Andaman & Nicobar Islands,6,1,1977,3.0,0,3,2,K.R. GANESH,M,IND,25168,,60568,85308.0,ANDAMAN & NICOBAR ISLANDS,GEN,,2,71.0,41.55,no,0,0.0,1.96,GEAN23679,,10809,True,1,,,,,,0,False,False,False,,
7,GE,Andaman & Nicobar Islands,7,1,1980,1.0,0,3,1,MANORANJAN BHAKTA,M,INC(I),42046,GEN,78899,96084.0,ANDAMAN & NICOBAR ISLANDS,GEN,,10,82.11,53.29,no,26032,32.99,2.78,GEAN23680,,3482,True,2,INC,3482.0,ANDAMAN & NICOBAR ISLANDS,True,True,2,False,True,True,,
8,GE,Andaman & Nicobar Islands,7,1,1980,1.0,0,3,2,P.K.S. PRASAD,M,CPM,16014,,78899,96084.0,ANDAMAN & NICOBAR ISLANDS,GEN,,10,82.11,20.3,no,158,0.2,2.78,GEAN26158,,14635,True,1,,,,,,0,False,False,False,,
9,GE,Andaman & Nicobar Islands,7,1,1980,1.0,0,3,3,K. KANDA SWAMY,M,IND,15856,,78899,96084.0,ANDAMAN & NICOBAR ISLANDS,GEN,,10,82.11,20.1,no,13822,17.52,2.78,GEAN26156,,10809,True,1,,,,,,0,False,False,False,,
