States,Instances of Abuse of Authority,Instances of abuse of Authority per Million Population,,,
Andhra Pradesh,479,9.87,,,
Arunachal Pradesh,18,32.73,,,
Assam,229,14.02,,,
Bihar,669,10.6,,,
Goa,13,13.37,,,
Gujarat,234,7.7,,,
Haryana,708,61.68,,,
Himachal Pradesh,137,35.4,,,
Jammu & Kashmir,28,5.28,,,
Karnataka,609,18.33,,,
Kerala,250,10.68,,,
Madhya Pradesh,1387,29.56,,,
Maharashtra,940,16.61,,,
Manipur,13,10.43,,,
Meghalaya,7,5.96,,,
Mizoram,1,2.42,,,
Nagaland,4,6.2,,,
Orissa,624,25.83,,,
Punjab,460,30.32,,,
Rajasthan,651,21.69,,,
Sikkim,6,22.81,,,
Tamil Nadu,267,5.96,,,
Tripura,43,23.83,,,
Uttar Pradesh,1874,18.81,,,
West Bengal,399,8.09,,,
Andaman & Nicobar Islands,16,105.26,,,
Chandigarh,27,76.16,,,
Dadra & Nagar Haveli,4,44.94,,,
Delhi,1797,349.41,,,
Lakshadweep,0,0,,,
Pondicherry,5,9.29,,,
India,15990,25.97,,,
